State,Action,Q-value
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",3,95.91938255364995
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",1,94.97892097575838
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",2,93.14314915137618
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",4,94.94215356472333
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",4,92.15838085402568
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",1,81.21843154588508
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",4,67.26487618389275
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",0,120.20459248948613
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",2,94.66955908790496
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",2,56.719122274271875
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",3,96.01119704378272
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2,85.09623837101968
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",1,94.48131122615955
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",0,82.78349209100077
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",3,97.17571559696326
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",1,58.80014593616458
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",4,91.72139940532703
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",0,84.84313328030755
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,76.00035135665226
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",0,80.00298731025052
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,88.86501539194904
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,48.124377217152066
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,41.131029373403955
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,23.673049818447122
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,-88.02925750615452
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,-61.745323959330776
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,-54.76903422800149
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,-56.39270518713756
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,-75.48811465342352
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",3,69.10550805027967
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,41.663894964256
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,40.80946788757177
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,46.79170328559151
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,33.757550634018614
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,104.75134789873742
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,41.72129876103086
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,48.82208948137786
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,81.87308344961005
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,67.53187046863276
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,55.405153035696515
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",4,92.74503985611742
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",3,63.05732414960719
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",4,37.43528513429099
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",3,34.00984904596923
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",2,101.07040818868363
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",1,52.22289179590491
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",1,-18.0
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",0,-7.001729106668314
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",3,-14.4
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",2,53.95888170291733
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",1,26.3417679062988
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",0,32.11486200512656
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2,84.78473017659702
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",0,74.19734219902281
